cluster,keyword,volume,kd,cpc_usd,traffic_potential,intent_bucket,ahrefs_intents,serp_features,growth_12mo,opportunity,parent_keyword
Cuisine — Chinese / dim sum / steamboat,halal mala,600,0,0.35,200,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Thumbnail,Video preview",4.85,278.5,halal mala
Cuisine — Chinese / dim sum / steamboat,halal hotpot singapore,600,15,0.25,1200,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,People also ask,Video preview",9.65,240.6,halal hotpot singapore
Cuisine — Chinese / dim sum / steamboat,halal dim sum,400,22,0.20,1400,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local",Local pack,1.53,228.1,dim sum place
Cuisine — Chinese / dim sum / steamboat,halal steamboat,400,2,0.20,1200,Commercial,"Informational,Commercial,Non-branded,Local",Local pack,-1.12,273.5,halal hotpot singapore
Cuisine — Chinese / dim sum / steamboat,halal chinese food singapore,350,26,0.15,600,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Sitelinks",9.25,195.2,halal chinese restaurant singapore
Cuisine — Chinese / dim sum / steamboat,halal chinese restaurant,350,29,0.20,600,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Sitelinks",7.83,188.2,halal chinese restaurant singapore
Cuisine — Chinese / dim sum / steamboat,halal chinese restaurant singapore,350,17,0.20,600,Other,"Non-branded,Local","Local pack,Video preview,Sitelinks",9.35,216.1,halal chinese restaurant singapore
Cuisine — Chinese / dim sum / steamboat,ok chicken rice halal,350,0,0.20,400,Commercial,"Informational,Commercial,Branded,Local","Local pack,People also ask,Image pack,Discussions,Thumbnail",9.73,255.6,ok chicken rice
Cuisine — Chinese / dim sum / steamboat,halal in chinese,300,0,0.00,20,Informational,"Informational,Non-branded,Non-local","Knowledge card,People also ask,AI Overview,Thumbnail,Video preview",10.63,249.1,halal in chinese
Cuisine — Chinese / dim sum / steamboat,loong dim sum | halal chinese restaurant,250,0,0.00,0,Other,,,0.12,241.5,
Cuisine — Chinese / dim sum / steamboat,halal chinese food,250,0,0.15,600,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Sitelinks,People also ask,Video preview",9.44,249.1,halal chinese food singapore
Cuisine — Chinese / dim sum / steamboat,loong dim sum | halal chinese restaurant menu,200,0,0.00,0,Other,,,0.14,232.2,
Cuisine — Chinese / dim sum / steamboat,halal hotpot near me,150,15,0.25,1200,Transactional/Local,"Non-branded,Local",Local pack,0.0,240.6,halal hotpot singapore
Cuisine — Chinese / dim sum / steamboat,loong dim sum | halal chinese restaurant reviews,150,0,0.00,0,Other,,,0.0,220.4,
Cuisine — Chinese / dim sum / steamboat,dim sum halal,150,18,0.15,1400,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Local pack,People also ask,Video preview",0.0,238.5,dim sum place
Cuisine — Chinese / dim sum / steamboat,halal mala singapore,150,0,0.35,100,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Video preview,People also ask",0.0,220.4,halal mala singapore
Cuisine — Chinese / dim sum / steamboat,hotpot halal,100,13,0.40,1200,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Video preview",0.0,245.6,halal hotpot singapore
Cuisine — Chinese / dim sum / steamboat,halal zi char singapore,100,0,0.00,100,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Video preview",0.0,204.1,halal zi char
Cuisine — Chinese / dim sum / steamboat,halal char kway teow,100,0,0.00,60,Informational,"Informational,Non-branded,Non-local","Knowledge panel,Thumbnail",0.0,204.1,786 char kway teow
Cuisine — Chinese / dim sum / steamboat,halal hot pot,100,14,0.35,1200,Commercial,"Informational,Commercial,Non-branded,Local","Knowledge panel,Discussions,People also ask",0.0,243.1,halal hotpot singapore
Cuisine — Chinese / dim sum / steamboat,halal zi char,100,0,0.00,100,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Video preview,People also ask",0.0,204.1,halal zi char
Cuisine — Chinese / dim sum / steamboat,loong dim sum halal chinese restaurant,100,0,0.00,0,Other,,,0.0,204.1,
Cuisine — Chinese / dim sum / steamboat,steamboat halal,100,0,0.15,100,Commercial,"Informational,Commercial,Non-branded,Non-local","Local pack,People also ask,Video preview",0.0,204.1,halal steamboat singapore
Cuisine — Chinese / dim sum / steamboat,halal hot pot singapore,90,18,0.15,1200,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local",Local pack,0.0,233.0,halal hotpot singapore
Cuisine — Chinese / dim sum / steamboat,halal steamboat near me,80,1,0.00,1200,Transactional/Local,"Informational,Commercial,Non-branded,Local","Local pack,People also ask,Discussions,Sitelinks",0.0,276.0,halal hotpot singapore
Cuisine — Chinese / dim sum / steamboat,go-ang pratunam chicken rice halal,80,4,0.00,150,Commercial,"Informational,Commercial,Branded,Local","Local pack,People also ask",0.0,188.3,go ang pratunam
Cuisine — Chinese / dim sum / steamboat,halal dimsum singapore,80,5,0.25,2500,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Video preview",0.0,295.9,loong dim sum
Cuisine — Chinese / dim sum / steamboat,halal porridge near me,70,0,0.35,40,Transactional/Local,"Informational,Commercial,Non-branded,Local","Local pack,People also ask,Sitelinks",0.0,190.3,halal porridge near me
Cuisine — Chinese / dim sum / steamboat,loong dim sum | halal chinese restaurant photos,70,0,0.00,0,Other,,,0.0,190.3,
Cuisine — Chinese / dim sum / steamboat,halal mala paste,70,0,0.10,70,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Non-local","Image pack,Shopping,Thumbnail,People also ask,Video preview,Bottom ads,Paid sitelinks",0.0,190.3,mala paste
Cuisine — Chinese / dim sum / steamboat,go ang pratunam chicken rice halal,60,4,0.00,150,Commercial,"Informational,Commercial,Branded,Local","Local pack,People also ask,Thumbnail",0.0,185.9,go ang pratunam
Cuisine — Chinese / dim sum / steamboat,hotpot halal singapore,60,3,0.00,1200,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local",Local pack,0.0,270.9,halal hotpot singapore
Cuisine — Chinese / dim sum / steamboat,steamboat halal singapore,60,1,0.15,1200,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Discussions,People also ask,Video preview",0.0,276.0,halal hotpot singapore
Cuisine — Chinese / dim sum / steamboat,halal malaysia,50,2,0.00,10,Informational,"Informational,Navigational,Non-branded,Non-local","Sitelinks,Image pack,People also ask",0.0,174.6,jakim malaysia
Cuisine — Chinese / dim sum / steamboat,halal chinese new year cookies,50,0,0.00,0,Transactional/Local,"Commercial,Transactional,Non-branded,Non-local",,0.0,177.8,
Cuisine — Chinese / dim sum / steamboat,halal chinese,50,0,0.00,3000,Informational,"Informational,Non-branded,Non-local","Local pack,Sitelinks",0.0,317.9,loong dim sum
Cuisine — Chinese / dim sum / steamboat,halal chicken rice,50,0,0.40,60,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Local pack,Top stories,Thumbnail,People also ask,Video preview,Sitelinks",0.0,177.8,halal chicken rice
Cuisine — Chinese / dim sum / steamboat,dim sum halal singapore,50,1,0.25,2600,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,People also ask",0.0,308.9,loong dim sum
Cuisine — Chinese / dim sum / steamboat,chinese halal food,50,0,0.15,150,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,People also ask",0.0,192.9,halal chinese food singapore
Cuisine — Chinese / dim sum / steamboat,halal claypot rice singapore,50,0,0.00,0,Other,,,0.0,177.8,
Cuisine — Indian / prata / biryani,halal indian restaurant singapore,200,15,0.10,600,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Discussions",0.0,215.2,copper chimney singapore
Cuisine — Indian / prata / biryani,indian saaga - halal north indian restaurant,100,0,0.00,0,Other,,,0.0,204.1,
Cuisine — Indian / prata / biryani,halal indian restaurant,80,0,0.25,500,Informational,"Informational,Non-branded,Non-local","Local pack,Video preview",0.0,241.5,copper chimney
Cuisine — Indian / prata / biryani,halal indian food,60,16,0.00,1300,Commercial,"Informational,Commercial,Non-branded,Local",Local pack,0.0,240.9,sakunthala
Cuisine — Indian / prata / biryani,banana leaf apolo halal,50,1,0.60,200,Transactional/Local,"Informational,Commercial,Transactional,Branded,Local","AI Overview,Thumbnail,People also ask,Video preview,Knowledge panel",0.0,202.3,banana leaf singapore
Cuisine — Japanese/sushi/ramen,halal sushi singapore,1100,4,0.35,500,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Thumbnail,People also ask,Bottom ads,Paid sitelinks,Video preview",6.49,293.5,halal japanese food
Cuisine — Japanese/sushi/ramen,halal sushi,800,25,0.25,150,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Local pack,People also ask,Video preview,Image pack",3.54,224.7,halal sushi singapore
Cuisine — Japanese/sushi/ramen,halal ramen singapore,400,10,0.20,800,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Thumbnail,Sitelinks",4.11,237.5,ichikokudo hokkaido ramen
Cuisine — Japanese/sushi/ramen,genki sushi halal,400,0,0.25,5700,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Knowledge panel",2.18,345.6,genki sushi
Cuisine — Japanese/sushi/ramen,halal ramen,400,0,0.15,700,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,People also ask",1.41,261.3,ichikokudo hokkaido ramen
Cuisine — Japanese/sushi/ramen,halal ramen near me,150,8,0.20,600,Transactional/Local,"Informational,Commercial,Non-branded,Local","Local pack,People also ask",0.0,231.0,halal sushi
Cuisine — Japanese/sushi/ramen,sushi halal,150,36,0.20,450,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Knowledge panel,People also ask",0.0,159.5,super sushi
Cuisine — Japanese/sushi/ramen,sushiro halal,150,0,0.00,50,Commercial,"Informational,Commercial,Branded,Local","AI Overview,Thumbnail,People also ask",0.0,220.4,is sushiro halal
Cuisine — Japanese/sushi/ramen,halal sushi near me,150,1,1.00,1800,Transactional/Local,"Commercial,Transactional,Non-branded,Local","Local pack,People also ask,Sitelinks,Discussions",0.0,293.2,hei sushi
Cuisine — Japanese/sushi/ramen,hei sushi halal,150,0,0.20,40,Commercial,"Informational,Commercial,Branded,Local","Local pack,People also ask",0.0,220.4,hei sushi halal
Cuisine — Japanese/sushi/ramen,takagi ramen halal,100,1,0.35,1100,Commercial,"Informational,Commercial,Branded,Local","People also ask,Local pack,Video preview",0.0,272.3,takagi ramen
Cuisine — Japanese/sushi/ramen,ramen halal,100,8,0.10,700,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Local pack,Sitelinks,People also ask",0.0,237.0,ichikokudo hokkaido ramen
Cuisine — Japanese/sushi/ramen,sushi express halal,90,2,0.80,6500,Commercial,"Informational,Commercial,Branded,Local","Local pack,People also ask",0.0,344.9,sushi express
Cuisine — Japanese/sushi/ramen,umi sushi halal,90,3,0.45,40,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Video preview",0.0,194.5,umi sushi halal
Cuisine — Japanese/sushi/ramen,sushi halal singapore,80,13,0.25,1800,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,People also ask",0.0,260.9,hei sushi
Cuisine — Japanese/sushi/ramen,halal omakase singapore,70,0,0.25,30,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Video preview,Sitelinks",0.0,190.3,halal omakase singapore
Cuisine — Japanese/sushi/ramen,sushi tei halal,70,53,0.00,8600,Informational,"Informational,Branded,Non-local","People also ask,Image pack,Local pack",0.0,188.3,sushi tei
Cuisine — Japanese/sushi/ramen,ramen halal singapore,60,8,0.25,700,Informational,"Informational,Non-branded,Local","Local pack,Sitelinks",0.0,237.0,ichikokudo hokkaido ramen
Cuisine — Japanese/sushi/ramen,sushi airways halal,60,0,0.00,0,Other,,,0.0,184.5,
Cuisine — Japanese/sushi/ramen,halal sushi delivery,60,6,0.30,450,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Non-local","Local pack,Image pack,People also ask",0.0,224.2,super sushi
Cuisine — Japanese/sushi/ramen,super sushi halal,50,0,0.00,0,Other,,,0.0,177.8,
Cuisine — Japanese/sushi/ramen,teppanyaki halal,50,0,0.70,500,Commercial,"Informational,Commercial,Non-branded,Local","AI Overview,Thumbnail,Local pack,People also ask,Video preview",0.0,241.5,teppanyaki singapore
Cuisine — Japanese/sushi/ramen,halal sushi restaurant singapore,50,0,0.25,1100,Informational,"Informational,Non-branded,Local","Local pack,People also ask",0.0,274.8,hei sushi
Cuisine — Japanese/sushi/ramen,yakiniku like halal,50,5,0.00,2100,Commercial,"Informational,Commercial,Branded,Local","People also ask,Local pack,Image pack,Sitelinks,Video preview",0.0,288.8,yakiniku like
Cuisine — Korean,halal kbbq,100,2,0.00,800,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Sitelinks,People also ask",0.0,256.5,halal korean food singapore
Cuisine — Korean,halal kbbq singapore,60,2,2.00,350,Commercial,"Informational,Commercial,Non-branded,Local",Local pack,0.0,222.6,halal korean food singapore
Cuisine — Korean,kbbq halal,50,2,0.00,800,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,People also ask,Discussions,Video preview",0.0,256.5,halal korean food singapore
Cuisine — Middle Eastern / Mediterranean,arab st halal food,150,5,0.15,700,Commercial,"Informational,Commercial,Non-branded,Local",Local pack,0.0,244.0,arab street halal food
Cuisine — Middle Eastern / Mediterranean,halal mediterranean food singapore,100,25,0.35,1000,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Bottom ads,Paid sitelinks",0.0,209.2,ela
Cuisine — Middle Eastern / Mediterranean,halal turkish restaurant singapore,100,22,0.70,500,Commercial,"Informational,Commercial,Non-branded,Local",Local pack,0.0,193.2,turkish food singapore
Cuisine — Middle Eastern / Mediterranean,halal middle eastern food singapore,60,17,0.80,100,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Sitelinks,People also ask",0.0,156.0,pistachio middle eastern & mediterranean grill
Cuisine — Middle Eastern / Mediterranean,halal food arab st,60,0,0.00,0,Other,,,0.0,184.5,
Cuisine — Middle Eastern / Mediterranean,arab st food halal,50,0,0.35,600,Commercial,"Informational,Commercial,Non-branded,Local",Local pack,0.0,249.1,arab street halal food
Cuisine — Middle Eastern / Mediterranean,halal turkish food singapore,50,0,0.90,0,Commercial,"Informational,Commercial,Non-branded,Local",,0.0,177.8,
Cuisine — Middle Eastern / Mediterranean,halal turkish food,50,0,0.35,0,Other,,,0.0,177.8,
Cuisine — Seafood,halal seafood restaurant singapore,300,23,0.20,1400,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Sitelinks,Video preview",7.15,225.5,mutiara seafood
Cuisine — Seafood,halal seafood singapore,300,11,0.20,1200,Commercial,"Informational,Commercial,Non-branded,Local",Local pack,7.68,250.7,mutiara seafood
Cuisine — Seafood,halal seafood,250,15,0.20,1200,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,People also ask,Image pack",6.95,240.6,mutiara seafood
Cuisine — Seafood,halal seafood restaurant,150,0,0.20,1200,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,People also ask,Video preview",0.0,278.5,mutiara seafood
Cuisine — Seafood,jumbo seafood halal,100,0,0.15,1200,Commercial,"Informational,Commercial,Branded,Local","Sitelinks,Knowledge panel,People also ask",0.0,278.5,mutiara seafood
Cuisine — Seafood,halal prawn noodle,100,0,0.15,30,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Local pack,People also ask,Video preview",0.0,204.1,deanna's kitchen
Cuisine — Thai / mookata,halal mookata,500,0,0.20,250,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Local pack,People also ask,Video preview",1.2,270.8,halal mookata
Cuisine — Thai / mookata,halal thai food singapore,450,16,0.25,700,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Local pack,Discussions",9.24,227.5,thai food singapore
Cuisine — Thai / mookata,555 busking halal thai,300,0,0.00,0,Other,,,0.0,249.1,
Cuisine — Thai / mookata,halal thai food,300,8,0.15,450,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local",Local pack,3.02,231.0,thai food singapore
Cuisine — Thai / mookata,halal mookata singapore,250,2,0.25,1200,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Video preview",7.9,273.5,halal hotpot singapore
Cuisine — Thai / mookata,halal thai restaurant singapore,150,2,0.06,250,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Thumbnail,Video preview",0.0,216.4,halal thai food singapore
Cuisine — Thai / mookata,mookata halal,150,0,0.35,250,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,People also ask,Video preview,Thumbnail,Discussions",0.0,220.4,halal mookata
Cuisine — Thai / mookata,thai food halal,60,7,0.00,400,Commercial,"Informational,Commercial,Non-branded,Non-local","Local pack,People also ask",0.0,217.4,halal thai food singapore
Cuisine — Thai / mookata,halal thai restaurant,60,11,0.10,350,Commercial,"Informational,Commercial,Non-branded,Local",Local pack,0.0,204.0,halal thai food singapore
Cuisine — Thai / mookata,thai express halal,60,1,0.00,200,Commercial,"Informational,Commercial,Branded,Local","People also ask,Local pack",0.0,202.3,thai express singapore
Cuisine — Western / steak / burger,halal steak singapore,1300,33,0.30,800,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Discussions,Video preview",7.92,218.2,halal steak singapore
Cuisine — Western / steak / burger,halal breakfast singapore,600,0,0.30,500,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Video preview",7.42,278.5,halal breakfast near me
Cuisine — Western / steak / burger,halal steak,500,22,0.30,1500,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Local pack,People also ask,Shopping,Thumbnail,Sitelinks",8.75,230.5,asap and co
Cuisine — Western / steak / burger,halal western food singapore,450,4,0.30,250,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Discussions,Sitelinks",8.88,256.6,halal western food singapore
Cuisine — Western / steak / burger,halal breakfast near me,450,8,0.20,500,Transactional/Local,"Informational,Non-branded,Local","Local pack,Sitelinks,People also ask,Video preview",13.2,246.9,halal breakfast near me
Cuisine — Western / steak / burger,halal brunch singapore,400,8,0.20,70,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Video preview",6.15,242.3,halal brunch singapore
Cuisine — Western / steak / burger,halal bbq,350,2,0.35,7400,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Local pack,Shopping,Thumbnail",5.04,350.4,bbq wholesale
Cuisine — Western / steak / burger,halal steakhouse singapore,300,19,0.25,1600,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Sitelinks",11.43,240.6,asap and co
Cuisine — Western / steak / burger,halal bbq singapore,300,8,0.40,7400,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Top ads,Bottom ads,Paid sitelinks",5.06,331.0,bbq wholesale
Cuisine — Western / steak / burger,halal western food,250,16,0.25,250,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Sitelinks,Discussions",0.79,206.4,halal food west
Cuisine — Western / steak / burger,halal pizza singapore,250,5,0.50,600,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Local pack,Thumbnail,People also ask,Image pack",3.59,237.8,halal pizza singapore
Cuisine — Western / steak / burger,best halal steak in singapore,250,5,0.30,700,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Sitelinks,Discussions",4.04,244.0,halal steak singapore
Cuisine — Western / steak / burger,halal bbq wholesale,200,38,0.25,7400,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Sitelinks,People also ask",7.09,233.6,bbq wholesale
Cuisine — Western / steak / burger,halal wagyu singapore,200,0,0.15,200,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Local pack,Sitelinks,Video preview",0.0,232.2,halal steak singapore
Cuisine — Western / steak / burger,halal pasta,200,35,0.30,900,Commercial,"Informational,Commercial,Non-branded,Non-local",Local pack,0.0,181.6,tipo pasta
Cuisine — Western / steak / burger,halal pasta singapore,200,22,0.25,1100,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Video preview,Bottom ads,Paid sitelinks",0.0,219.9,tipo pasta bar
Cuisine — Western / steak / burger,halal steakhouse,150,22,0.30,600,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Image pack",0.0,199.3,halal steak singapore
Cuisine — Western / steak / burger,bbq wholesale halal,150,32,0.25,7400,Transactional/Local,"Informational,Commercial,Transactional,Branded,Local","Top ads,Sitelinks,People also ask,Bottom ads,Paid sitelinks,Knowledge panel",0.0,253.1,bbq wholesale
Cuisine — Western / steak / burger,josh grill halal,150,1,1.50,1300,Commercial,"Informational,Commercial,Branded,Local","People also ask,Knowledge panel,Discussions,Video preview",0.0,279.4,josh grill 313
Cuisine — Western / steak / burger,xw western grill halal,150,0,0.70,20,Commercial,"Informational,Commercial,Branded,Local","Local pack,People also ask,Discussions",0.0,220.4,xw western grill halal
Cuisine — Western / steak / burger,halal breakfast,150,1,0.20,450,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,People also ask,Sitelinks",0.0,235.0,halal breakfast near me
Cuisine — Western / steak / burger,breakfast delivery singapore halal,150,21,0.45,3000,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local",Local pack,0.0,257.2,kopi and tarts
Cuisine — Western / steak / burger,us pizza halal,100,0,0.00,0,Other,,,0.0,204.1,
Cuisine — Western / steak / burger,halal bbq caterer,100,0,0.00,0,Other,,,0.0,204.1,
Cuisine — Western / steak / burger,halal western restaurant singapore,100,10,0.06,300,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Discussions",0.0,200.4,halal fine dining singapore
Cuisine — Western / steak / burger,best halal breakfast singapore,100,0,0.35,90,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Sitelinks,Video preview,Discussions",0.0,204.1,halal breakfast singapore
Cuisine — Western / steak / burger,halal steak restaurant singapore,100,22,0.15,700,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Sitelinks",0.0,204.5,halal steak singapore
Cuisine — Western / steak / burger,halal steak near me,100,5,0.25,800,Transactional/Local,"Informational,Commercial,Non-branded,Local",Local pack,0.0,249.4,halal steak singapore
Cuisine — Western / steak / burger,steak halal singapore,100,21,0.25,800,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,People also ask",0.0,211.4,halal steak singapore
Cuisine — Western / steak / burger,halal brunch,90,1,0.15,10,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Discussions",0.0,198.2,halal brunch
Cuisine — Western / steak / burger,tipo pasta bar halal,90,1,0.00,6700,Transactional/Local,"Informational,Commercial,Transactional,Branded,Local","AI Overview,Thumbnail,People also ask,Knowledge panel,Discussions",0.0,349.4,tipo
Cuisine — Western / steak / burger,halal pasta near me,90,20,0.00,800,Transactional/Local,"Informational,Commercial,Non-branded,Local",Local pack,0.0,213.8,tipo pasta
Cuisine — Western / steak / burger,ordinary burger halal,80,0,0.00,20,Commercial,"Informational,Commercial,Branded,Local","People also ask,Local pack",0.0,195.4,ordinary burger halal
Cuisine — Western / steak / burger,steak 99 halal,80,0,0.00,0,Other,,,0.0,195.4,
Cuisine — Western / steak / burger,halal breakfast delivery,80,40,0.50,3100,Transactional/Local,"Commercial,Transactional,Non-branded,Local",Local pack,0.0,203.2,kopi and tarts
Cuisine — Western / steak / burger,bbq halal,80,2,0.15,7300,Commercial,"Informational,Commercial,Non-branded,Non-local","Local pack,Sitelinks,Video preview,Shopping,Thumbnail,People also ask",0.0,349.9,bbq wholesale
Cuisine — Western / steak / burger,halal chicken wings,70,0,0.20,0,Other,,,0.0,190.3,
Cuisine — Western / steak / burger,pastago halal,70,0,0.00,3000,Commercial,"Informational,Commercial,Branded,Local","Local pack,People also ask,Video preview,Image pack",0.0,317.9,pastago
Cuisine — Western / steak / burger,steak halal,70,33,0.15,1600,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Local pack,Shopping,Thumbnail,People also ask",0.0,203.6,asap and co
Cuisine — Western / steak / burger,halal steak in singapore,70,20,0.35,600,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Discussions,Video preview",0.0,203.8,halal steak singapore
Cuisine — Western / steak / burger,pizza hut halal,60,0,0.60,39000,Commercial,"Informational,Commercial,Branded,Local","People also ask,Local pack",0.0,429.0,pizza hut
Cuisine — Western / steak / burger,bbq halal singapore,60,17,0.20,7400,Commercial,"Informational,Commercial,Non-branded,Local",Local pack,0.0,301.8,bbq wholesale
Cuisine — Western / steak / burger,halal burger,60,0,0.10,20,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,People also ask",0.0,184.5,halal burger
Cuisine — Western / steak / burger,halal steak restaurant,60,22,0.15,1600,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,People also ask",0.0,232.7,asap and co
Cuisine — Western / steak / burger,halal steak delivery singapore,60,39,0.45,1600,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Local pack,People also ask,Bottom ads,Paid sitelinks",0.0,187.7,asap and co
Cuisine — Western / steak / burger,pasta express halal,60,0,0.00,0,Other,,,0.0,184.5,
Cuisine — Western / steak / burger,halal wagyu,60,0,0.20,200,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local","Local pack,Thumbnail,People also ask,Video preview,Image pack,Bottom ads",0.0,204.1,halal steak singapore
Cuisine — Western / steak / burger,best halal steakhouse singapore,60,0,0.00,0,Commercial,,,0.0,184.5,asap and co
Cuisine — Western / steak / burger,isteaks halal,60,3,1.00,2000,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask,Video preview",0.0,292.2,isteak
Cuisine — Western / steak / burger,brunch club by the halal corner,60,0,0.00,150,Transactional/Local,"Informational,Commercial,Transactional,Branded,Local","Thumbnail,Video preview,People also ask",0.0,192.9,halal brunch singapore
Cuisine — Western / steak / burger,domino pizza halal,50,0,0.45,28000,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,Sitelinks,People also ask,Knowledge panel",0.0,414.6,dominos
Cuisine — Western / steak / burger,halal western near me,50,4,0.00,150,Transactional/Local,"Informational,Non-branded,Local","Local pack,People also ask",0.0,185.9,halal western food near me
Cuisine — Western / steak / burger,pizzamaru halal,50,0,1.50,10,Informational,"Informational,Branded,Non-local","Local pack,People also ask",0.0,177.8,is pizza maru halal
Cuisine — Western / steak / burger,burger king singapore halal,50,0,0.00,60,Informational,"Informational,Branded,Non-local","People also ask,Video preview,Discussions,Local pack",0.0,177.8,burger king singapore halal
Cuisine — Western / steak / burger,best halal western food singapore,50,4,0.06,5600,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Sitelinks,Video preview",0.0,332.3,halal cafe singapore
Cuisine — Western / steak / burger,steakhouse singapore halal,50,21,0.30,1000,Commercial,"Informational,Commercial,Non-branded,Local",Local pack,0.0,219.1,halal steak singapore
Cuisine — Western / steak / burger,e & d (western halal) loyang point menu,50,0,0.00,0,Other,,,0.0,177.8,
Cuisine — Western / steak / burger,halal western,50,20,0.10,250,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,Sitelinks,Video preview",0.0,174.3,halal western food singapore
Cuisine — Western / steak / burger,pizza maru halal,50,0,1.50,10,Transactional/Local,"Informational,Commercial,Transactional,Branded,Local","Thumbnail,Local pack,People also ask",0.0,177.8,is pizza maru halal
Cuisine — Western / steak / burger,halal breakfast delivery singapore,50,55,0.45,3000,Transactional/Local,"Informational,Commercial,Transactional,Non-branded,Local",Local pack,0.0,158.9,kopi and tarts
Cuisine — Western / steak / burger,best halal steak singapore,50,17,0.40,200,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,People also ask,Sitelinks",0.0,172.6,halal steak singapore
Cuisine — Western / steak / burger,singapore hotel with halal breakfast,50,0,0.05,100,Commercial,"Informational,Commercial,Non-branded,Local","Top ads,Paid sitelinks,Bottom ads",0.0,177.8,halal hotel singapore
